Date,Open,High,Low,Close,Volume,Close_Time,Number_of_Trades,EMA,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2021-01-01,28923.63,29600.0,28624.57,29331.69,54182.925011,1609545599999,1314910,29331.69,,,,0,0
2021-01-02,29331.7,33300.0,28946.53,32178.33,129993.873362,1609631999999,2245922,29433.355714285713,100.0,,,0,0
2021-01-03,32176.45,34778.11,31962.99,33000.05,120957.56675,1609718399999,2369698,29560.737653061227,100.0,,,0,0
2021-01-04,33000.05,33600.0,28130.0,31988.71,140899.88569,1609804799999,2642408,29647.45095116618,78.38878560591486,,,0,0
2021-01-05,31989.75,34360.0,29900.0,33949.53,116049.997038,1609891199999,2526851,29801.096631481676,84.77016860125408,,,0,0
2021-01-06,33949.53,36939.21,33288.0,36769.36,127139.20131,1609977599999,2591783,30049.963180357332,89.30969784416007,,,0,0
2021-01-07,36769.36,40365.0,36300.0,39432.28,132825.700437,1610063999999,2814686,30385.045923916,91.65786128660004,,,0,0
2021-01-08,39432.48,41950.0,36500.0,40582.81,139789.957499,1610150399999,2925632,30749.251783776144,92.38093085627324,,,0,0
2021-01-09,40586.96,41380.0,38720.0,40088.22,75785.979675,1610236799999,1998156,31082.786362926996,89.06241034717931,,,0,0
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.544503,1610323199999,2628050,31335.18756425103,78.07207038574252,,,0,0
2021-01-11,38150.02,38264.74,30420.0,35404.47,251156.138287,1610409599999,4472957,31480.519079813494,66.45548971555603,,,0,0
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.151996,1610495999999,2674145,31572.330541248728,61.91482411083458,,,0,0
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.914938,1610582399999,2514289,31779.43945048985,67.38273015384308,,,0,0
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.389421,1610668799999,2297466,32042.47732725807,69.70552195040449,42801.49784611815,28833.157868167553,0,0
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.920916,1610755199999,2560801,32210.325279856,63.5719468691703,42253.620136268655,30439.682720874203,0,0
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,1610841599999,2066363,32345.49151986114,57.572264519070494,42028.895750478245,31209.64282095032,0,0
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.727384,1610927999999,1860642,32469.88860843753,55.761715885498994,41846.26551797657,31796.353053452,0,0
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875,1611014399999,1707766,32618.509372421904,59.537881489784475,41348.36420647478,32957.47722209665,0,0
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,1611100799999,1939371,32735.401537692553,54.200387256861355,41145.33358613457,33437.93069957971,0,0
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.422918,1611187199999,2234539,32833.00255420354,46.8601878293638,41167.685674527645,33229.702896900926,0,0
2021-01-21,35468.23,35600.0,30071.0,30850.13,135004.076658,1611273599999,2881505,32762.1856772677,31.075785940935077,41585.724018641005,31585.643124216134,0,0
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049,1611359999999,2707810,32768.72083165099,33.8319596131342,40823.47277837593,31256.802935909785,0,0
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,1611446399999,1700056,32744.052230520603,33.306574569838276,40078.64930142926,30857.30926999932,0,0
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,1611532799999,1528287,32726.76107943058,36.7553463237728,39678.57874099087,30415.93411615199,0,0
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921,1611619199999,2106548,32709.883898022348,41.920723184613855,39679.41000993766,29965.064275776625,0,0
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691,1611705599999,2010392,32701.23697309298,45.68685570590636,39715.110027974864,29703.15425773941,0,0
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,1611791999999,2065953,32617.84100976823,29.562061897056864,39462.712267806506,28954.804875050642,0,0
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617,1611878399999,2060660,32644.52025941937,34.26315388217867,38222.34086759518,29369.51341811911,0,0
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626,1611964799999,4403349,32701.937393011533,42.61054126015076,37722.93892161095,29513.198221246195,0,0
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134,1612051199999,2201040,32757.68534326112,44.62478044178525,37389.67562218624,29599.018663528048,0,0
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,1612137599999,1707064,32769.66015243037,42.0082931016048,36957.103948859774,29640.786051140225,0,0
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882,1612223999999,1810492,32796.68550412929,40.72951649811062,36202.775014122075,29951.557843020782,0,0
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,1612310399999,1789672,32892.026736124666,48.8152120916626,36060.86011973756,30032.7227374053,0,0
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,1612396799999,1881740,33060.84256697736,55.46524073955484,36889.692232561,29511.12491029614,0,0
